#ip,#ioc,#feed.name
195.22.26.203,sinkhole_anubis,sinkhole_ip
195.22.26.204,sinkhole_anubis,sinkhole_ip
195.22.26.205,sinkhole_anubis,sinkhole_ip
195.22.26.206,sinkhole_anubis,sinkhole_ip
195.22.26.207,sinkhole_anubis,sinkhole_ip
195.22.26.208,sinkhole_anubis,sinkhole_ip
195.22.26.209,sinkhole_anubis,sinkhole_ip
195.22.26.210,sinkhole_anubis,sinkhole_ip
195.22.26.215,sinkhole_anubis,sinkhole_ip
195.22.26.216,sinkhole_anubis,sinkhole_ip
195.22.26.218,sinkhole_anubis,sinkhole_ip
195.22.26.219,sinkhole_anubis,sinkhole_ip
195.22.26.220,sinkhole_anubis,sinkhole_ip
195.22.26.221,sinkhole_anubis,sinkhole_ip
195.22.26.222,sinkhole_anubis,sinkhole_ip
195.22.26.223,sinkhole_anubis,sinkhole_ip
195.22.26.224,sinkhole_anubis,sinkhole_ip
195.22.26.225,sinkhole_anubis,sinkhole_ip
195.22.26.226,sinkhole_anubis,sinkhole_ip
195.22.26.227,sinkhole_anubis,sinkhole_ip
195.22.26.228,sinkhole_anubis,sinkhole_ip
195.22.26.230,sinkhole_anubis,sinkhole_ip
195.22.26.231,sinkhole_anubis,sinkhole_ip
195.22.26.232,sinkhole_anubis,sinkhole_ip
195.22.26.233,sinkhole_anubis,sinkhole_ip
195.22.26.234,sinkhole_anubis,sinkhole_ip
195.22.26.235,sinkhole_anubis,sinkhole_ip
195.22.26.236,sinkhole_anubis,sinkhole_ip
195.22.26.237,sinkhole_anubis,sinkhole_ip
195.22.26.238,sinkhole_anubis,sinkhole_ip
195.22.26.239,sinkhole_anubis,sinkhole_ip
195.22.26.240,sinkhole_anubis,sinkhole_ip
195.22.26.241,sinkhole_anubis,sinkhole_ip
195.22.26.242,sinkhole_anubis,sinkhole_ip
195.22.26.243,sinkhole_anubis,sinkhole_ip
195.22.26.244,sinkhole_anubis,sinkhole_ip
195.22.26.245,sinkhole_anubis,sinkhole_ip
195.22.26.246,sinkhole_anubis,sinkhole_ip
195.22.26.247,sinkhole_anubis,sinkhole_ip
195.22.26.249,sinkhole_anubis,sinkhole_ip
195.22.26.250,sinkhole_anubis,sinkhole_ip
195.22.26.251,sinkhole_anubis,sinkhole_ip
195.22.26.252,sinkhole_anubis,sinkhole_ip
195.22.26.253,sinkhole_anubis,sinkhole_ip
195.22.26.254,sinkhole_anubis,sinkhole_ip
195.22.26.255,sinkhole_anubis,sinkhole_ip
92.54.28.100,sinkhole_anubis,sinkhole_ip
195.22.28.194,sinkhole_anubis,sinkhole_ip
195.22.28.195,sinkhole_anubis,sinkhole_ip
195.22.28.196,sinkhole_anubis,sinkhole_ip
195.22.28.197,sinkhole_anubis,sinkhole_ip
195.22.28.198,sinkhole_anubis,sinkhole_ip
195.22.28.199,sinkhole_anubis,sinkhole_ip
195.22.28.200,sinkhole_anubis,sinkhole_ip
195.22.28.221,sinkhole_anubis,sinkhole_ip
195.22.28.222,sinkhole_anubis,sinkhole_ip
195.157.15.100,sinkhole_anubis,sinkhole_ip
195.38.137.100,sinkhole_anubis,sinkhole_ip
212.61.180.100,sinkhole_anubis,sinkhole_ip
89.185.44.100,sinkhole_anubis,sinkhole_ip
23.253.126.58,sinkhole_arbor_filtered,sinkhole_ip
104.239.157.210,sinkhole_arbor_filtered,sinkhole_ip
104.239.159.210,sinkhole_arbor_filtered,sinkhole_ip
23.253.126.58,sinkhole_arbor,sinkhole_ip
104.239.157.210,sinkhole_arbor,sinkhole_ip
104.239.159.210,sinkhole_arbor,sinkhole_ip
5.2.189.251,sinkhole_bitdefender_filtered,sinkhole_ip
5.2.189.251,sinkhole_bitdefender,sinkhole_ip
67.215.255.139,sinkhole_blacklab_filtered,sinkhole_ip
81.166.122.234,sinkhole_blacklab_filtered,sinkhole_ip
106.187.96.49,sinkhole_blacklab_filtered,sinkhole_ip
67.215.255.131,sinkhole_blacklab_filtered,sinkhole_ip
67.215.255.139,sinkhole_blacklab,sinkhole_ip
81.166.122.234,sinkhole_blacklab,sinkhole_ip
106.187.96.49,sinkhole_blacklab,sinkhole_ip
67.215.255.131,sinkhole_blacklab,sinkhole_ip
52.5.245.208,sinkhole_botnethunter_filtered,sinkhole_ip
58.158.177.102,sinkhole_botnethunter_filtered,sinkhole_ip
52.5.245.208,sinkhole_botnethunter,sinkhole_ip
58.158.177.102,sinkhole_botnethunter,sinkhole_ip
150.101.125.42,sinkhole_certgovau_filtered,sinkhole_ip
150.101.125.42,sinkhole_certgovau,sinkhole_ip
148.81.111.1,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.2,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.3,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.4,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.5,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.6,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.7,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.8,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.9,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.10,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.11,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.12,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.13,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.14,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.15,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.16,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.17,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.18,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.19,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.20,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.21,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.22,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.23,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.24,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.25,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.26,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.27,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.28,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.29,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.30,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.31,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.32,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.33,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.34,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.35,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.36,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.37,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.38,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.39,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.40,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.41,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.42,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.43,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.44,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.45,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.46,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.47,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.48,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.49,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.50,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.51,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.52,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.53,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.54,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.55,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.56,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.57,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.58,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.59,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.60,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.61,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.62,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.63,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.64,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.65,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.66,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.67,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.68,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.69,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.70,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.71,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.72,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.73,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.74,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.75,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.76,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.77,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.78,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.79,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.80,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.81,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.82,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.83,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.84,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.85,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.86,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.87,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.88,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.89,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.90,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.91,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.92,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.93,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.94,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.95,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.96,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.97,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.98,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.99,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.100,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.101,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.102,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.103,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.104,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.105,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.106,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.107,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.108,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.109,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.110,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.111,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.112,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.113,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.114,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.115,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.116,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.117,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.118,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.119,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.120,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.121,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.122,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.123,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.124,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.125,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.126,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.127,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.128,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.129,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.130,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.131,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.132,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.133,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.134,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.135,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.136,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.137,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.138,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.139,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.140,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.141,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.142,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.143,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.144,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.145,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.146,sinkhole_certpl_filtered,sinkhole_ip
148.81.111.147,sinkhole_certpl_filtered,sinkhole_ip
